org_name.x,org_city.x,org_state.x,lat.x,lon.x,org_name.y,org_city.y,org_state.y,lat.y,lon.y,org_name.dist,org_city.dist,org_state.dist,org_name
University of San Francisco,San Francisco,CA,37.77529,-122.45173,University Enterprises Corporation at CSUB,San Bernardino,CA,34.1832627,-117.3219374,0.29621613,0.258648759,5.55E-17,NA
University of San Francisco,San Francisco,CA,37.77529,-122.45173,University of California-San Francisco,San Francisco,CA,37.7673395,-122.4150481,0.170565302,5.55E-17,5.55E-17,NA
University of San Francisco,San Francisco,CA,37.77529,-122.45173,University of San Diego,San Diego,CA,32.7719176,-117.1874994,0.129898014,0.290598291,5.55E-17,NA
University of Southern California,Los Angeles,CA,34.01728,-118.28125,University of California-Los Angeles,Los Angeles,CA,34.0591198,-118.4434761,0.196007696,5.55E-17,5.55E-17,NA
University of Texas Arlington,Arlington,TX,32.7282,-97.1126,University of North Texas,Denton,TX,33.1962358,-97.1227928,0.160849575,0.296296296,5.55E-17,NA
University of Texas Arlington,Arlington,TX,32.7282,-97.1126,University of Texas at Arlington,Arlington,TX,32.7291589,-97.1151722,0.071479885,5.55E-17,5.55E-17,University of Texas Arlington
University of Texas Dallas,Richardson,TX,32.99173,-96.7437,University of Texas at Dallas,Richardson,TX,32.9842669,-96.7482802,0.060123784,5.55E-17,5.55E-17,University of Texas Dallas
University of Texas El Paso,El Paso,TX,31.77052,-106.50415,University of Texas at El Paso,El Paso,TX,31.7714282,-106.5050787,0.064197531,5.55E-17,5.55E-17,University of Texas El Paso
University of Texas Health Science Center,San Antonio,TX,29.51309,-98.57774,University of Texas at San Antonio,San Antonio,TX,29.5830733,-98.6198779,0.175316216,5.55E-17,5.55E-17,University of Texas San Antonio
University of Texas Health Science Center Houston,Houston,TX,29.70303,-95.4033,The University of Texas Health Science Center at Houston,Houston,TX,29.7035198,-95.403019,0.201530612,5.55E-17,5.55E-17,The University of Texas Health Science Center at Houston
University of Texas Health Science Center Houston,Houston,TX,29.70303,-95.4033,University of Houston,Houston,TX,29.718091,-95.336483,0.27702192,5.55E-17,5.55E-17,NA
University of Texas Health Science Center Houston,Houston,TX,29.70303,-95.4033,University of Houston - Clear Lake,Houston,TX,29.5822342,-95.0983932,0.273109244,5.55E-17,5.55E-17,NA
University of Texas Health Science Center Houston,Houston,TX,29.70303,-95.4033,University of Texas at Austin,Austin,TX,30.2861062,-97.7393634,0.17816092,0.253968254,5.55E-17,NA
University of Texas Medical Branch Galveston,Galveston,TX,29.31103,-94.77801,University of North Texas,Denton,TX,33.1962358,-97.1227928,0.267272727,0.296296296,5.55E-17,NA
University of Texas San Antonio,San Antonio,TX,29.56712,-98.60572,St Mary's University San Antonio,San Antonio,TX,29.4524263,-98.5646855,0.257289082,5.55E-17,5.55E-17,NA
University of Texas San Antonio,San Antonio,TX,29.56712,-98.60572,Texas A&M University-San Antonio,San Antonio,TX,29.3049321,-98.5243006,0.198924731,5.55E-17,5.55E-17,NA
