OID_,Join_Count,New119Fips,GEOID,NAMELSAD,lat,lon,GEOID_1,STATEFP,CD119FP,GEOIDFQ
254,1,903,903,Congressional District 3,41.270625000000003,-72.820231000000007,0903,09,03,5001900US0903
255,1,637,637,Congressional District 37,34.061909999999997,-118.416910000000001,0637,06,37,5001900US0637
256,1,637,637,Congressional District 37,34.029772000000001,-118.284177000000000,0637,06,37,5001900US0637
257,1,637,637,Congressional District 37,34.059786000000003,-118.416711000000006,0637,06,37,5001900US0637
258,1,3102,3102,Congressional District 2,41.223159000000003,-96.208956999999998,3102,31,02,5001900US3102
259,1,3102,3102,Congressional District 2,41.243186000000001,-95.973483000000002,3102,31,02,5001900US3102
260,1,3102,3102,Congressional District 2,41.324235999999999,-96.097022999999993,3102,31,02,5001900US3102
261,1,3102,3102,Congressional District 2,41.239677999999998,-96.013534000000007,3102,31,02,5001900US3102
262,1,3102,3102,Congressional District 2,41.242877000000000,-96.182755999999998,3102,31,02,5001900US3102
263,1,3102,3102,Congressional District 2,41.230075999999997,-96.085409999999996,3102,31,02,5001900US3102
264,1,3102,3102,Congressional District 2,41.274462999999997,-96.153328000000002,3102,31,02,5001900US3102
265,1,3102,3102,Congressional District 2,41.248736999999998,-95.974494000000007,3102,31,02,5001900US3102
266,1,624,624,Congressional District 24,35.280439999999999,-120.662347999999994,0624,06,24,5001900US0624
267,1,624,624,Congressional District 24,34.596848000000001,-120.139883999999995,0624,06,24,5001900US0624
268,1,624,624,Congressional District 24,34.429831000000000,-119.721525000000000,0624,06,24,5001900US0624
269,1,624,624,Congressional District 24,35.265070000000001,-120.648467999999994,0624,06,24,5001900US0624
270,1,624,624,Congressional District 24,35.298873000000000,-120.658799000000002,0624,06,24,5001900US0624
271,1,624,624,Congressional District 24,34.420721000000000,-119.720214999999996,0624,06,24,5001900US0624
272,1,806,806,Congressional District 6,39.747514000000002,-104.846739999999997,0806,08,06,5001900US0806
273,1,806,806,Congressional District 6,39.608072999999997,-104.804056000000003,0806,08,06,5001900US0806
274,1,806,806,Congressional District 6,39.747863000000002,-104.840743000000003,0806,08,06,5001900US0806
275,1,806,806,Congressional District 6,39.631188999999999,-104.925173000000001,0806,08,06,5001900US0806
276,1,806,806,Congressional District 6,39.618712000000002,-104.806849999999997,0806,08,06,5001900US0806
277,1,806,806,Congressional District 6,39.602715000000003,-104.739637999999999,0806,08,06,5001900US0806
