table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
MSA,pop_2024
"..Chicago-Naperville-Schaumburg, IL Metro Division","7,198,136"
"..Elgin, IL Metro Division","765,503"
"..Lake County, IL Metro Division","718,604"
"..Lake County-Porter County-Jasper County, IN Metro Division","726,333"
".Chico, CA Metro Area","208,334"
".Cincinnati, OH-KY-IN Metro Area","2,302,815"
".Clarksville, TN-KY Metro Area","345,955"
".Cleveland, OH Metro Area","2,171,877"
".Cleveland, TN Metro Area","132,120"
".Coeur d'Alene, ID Metro Area","188,323"
".College Station-Bryan, TX Metro Area","287,462"
".Colorado Springs, CO Metro Area","777,634"
".Columbia, MO Metro Area","219,426"
".Columbia, SC Metro Area","870,193"
".Columbus, GA-AL Metro Area","324,343"
".Columbus, IN Metro Area","84,741"
".Columbus, OH Metro Area","2,225,377"
".Corpus Christi, TX Metro Area","450,187"
".Corvallis, OR Metro Area","98,899"
".Crestview-Fort Walton Beach-Destin, FL Metro Area","310,149"
".Dallas-Fort Worth-Arlington, TX Metro Area","8,344,032"
"..Dallas-Plano-Irving, TX Metro Division","5,641,795"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,702,237"
".Dalton, GA Metro Area","146,386"
".Daphne-Fairhope-Foley, AL Metro Area","261,608"
".Davenport-Moline-Rock Island, IA-IL Metro Area","381,801"
".Dayton-Kettering-Beavercreek, OH Metro Area","821,740"
".Decatur, AL Metro Area","159,651"
".Decatur, IL Metro Area","100,737"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","739,516"
".Denver-Aurora-Centennial, CO Metro Area","3,052,498"
".Des Moines-West Des Moines, IA Metro Area","753,913"
".Detroit-Warren-Dearborn, MI Metro Area","4,400,578"
"..Detroit-Dearborn-Livonia, MI Metro Division","1,771,063"
"..Warren-Troy-Farmington Hills, MI Metro Division","2,629,515"
".Dothan, AL Metro Area","154,766"
".Dover, DE Metro Area","192,690"
".Dubuque, IA Metro Area","99,242"
".Duluth, MN-WI Metro Area","281,815"
".Durham-Chapel Hill, NC Metro Area","620,522"
".Eagle Pass, TX Metro Area","58,829"
".Eau Claire, WI Metro Area","176,153"
".El Centro, CA Metro Area","181,724"
".Elizabethtown, KY Metro Area","127,954"
".Elkhart-Goshen, IN Metro Area","207,436"
".Elmira, NY Metro Area","81,115"
".El Paso, TX Metro Area","879,392"
".Enid, OK Metro Area","62,007"
".Erie, PA Metro Area","267,750"
