org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
NA,NA,NA,NA,NA,Cosmic Picture Distribution LLC,Somers,NY,41.33344,-73.66654,Cosmic Picture Distribution LLC,Somers,NY,41.33344,-73.66654
NA,NA,NA,NA,NA,Council of Graduate Schools,Washington,DC,38.90908,-77.04448,Council of Graduate Schools,Washington,DC,38.90908,-77.04448
Creighton University,Omaha,NE,41.2643,-95.94809,NA,NA,NA,NA,NA,Creighton University,Omaha,NE,41.2643,-95.94809
NA,NA,NA,NA,NA,Crow Canyon Archaeological Center,Cortez,CO,37.3566,-108.62768,Crow Canyon Archaeological Center,Cortez,CO,37.3566,-108.62768
NA,NA,NA,NA,NA,Cuesta College,San Luis Obispo,CA,35.33133,-120.74226,Cuesta College,San Luis Obispo,CA,35.33133,-120.74226
Dana-Farber Cancer Institute,Boston,MA,42.33759,-71.10828,NA,NA,NA,NA,NA,Dana-Farber Cancer Institute,Boston,MA,42.33759,-71.10828
Dartmouth College,Hanover,NH,43.71139,-72.27061,Dartmouth College,Hanover,NH,43.71139,-72.27061,Dartmouth College,Hanover,NH,43.71139,-72.27061
Dartmouth-Hitchcock Clinic,Lebanon,NH,43.63701,-72.25238,NA,NA,NA,NA,NA,Dartmouth-Hitchcock Clinic,Lebanon,NH,43.63701,-72.25238
NA,NA,NA,NA,NA,David Lipscomb University,Nashville,TN,36.10362,-86.79896,David Lipscomb University,Nashville,TN,36.10362,-86.79896
Delaware State University,Dover,DE,39.18938,-75.54117,Delaware State University,Dover,DE,39.18938,-75.54117,Delaware State University,Dover,DE,39.18938,-75.54117
"Delta Health Alliance, Inc.",Stoneville,MS,33.40757,-90.91122,NA,NA,NA,NA,NA,"Delta Health Alliance, Inc.",Stoneville,MS,33.40757,-90.91122
Denver Health and Hospital Authority,Denver,CO,39.7273,-104.99157,NA,NA,NA,NA,NA,Denver Health and Hospital Authority,Denver,CO,39.7273,-104.99157
NA,NA,NA,NA,NA,Donald Danforth Plant Science Center,Saint Louis,MO,38.67428,-90.39701,Donald Danforth Plant Science Center,Saint Louis,MO,38.67428,-90.39701
NA,NA,NA,NA,NA,Do√±a Ana Branch Community College,Las Cruces,NM,32.27508,-106.75514,Doña Ana Branch Community College,Las Cruces,NM,32.27508,-106.75514
Drexel University,Philadelphia,PA,39.95407,-75.18654,Drexel University,Philadelphia,PA,39.95407,-75.18654,Drexel University,Philadelphia,PA,39.95407,-75.18654
Duke University,Durham,NC,36.00777,-78.92648,Duke University,Durham,NC,36.00777,-78.92648,Duke University,Durham,NC,36.00777,-78.92648
Duquesne University,Pittsburgh,PA,40.43782,-79.99365,Duquesne University,Pittsburgh,PA,40.43782,-79.99365,Duquesne University,Pittsburgh,PA,40.43782,-79.99365
East Carolina University,Greenville,NC,35.60836,-77.3648,East Carolina University,Greenville,NC,35.60836,-77.3648,East Carolina University,Greenville,NC,35.60836,-77.3648
NA,NA,NA,NA,NA,East Central University,Ada,OK,34.7725,-96.66118,East Central University,Ada,OK,34.7725,-96.66118
East Tennessee State University,Johnson City,TN,36.33089,-82.36558,NA,NA,NA,NA,NA,East Tennessee State University,Johnson City,TN,36.33089,-82.36558
NA,NA,NA,NA,NA,Eastern Washington University,Cheney,WA,47.49013,-117.57977,Eastern Washington University,Cheney,WA,47.49013,-117.57977
"Ecohealth Alliance, Inc.",New York,NY,40.75406,-73.99895,NA,NA,NA,NA,NA,"Ecohealth Alliance, Inc.",New York,NY,40.75406,-73.99895
NA,NA,NA,NA,NA,Edna Inc..,Oxford,MA,42.09465,-71.8717,Edna Inc.,Oxford,MA,42.09465,-71.8717
NA,NA,NA,NA,NA,Education Development Center,Waltham,MA,42.38994,-71.25758,Education Development Center,Waltham,MA,42.38994,-71.25758
NA,NA,NA,NA,NA,Educational Testing Service,Princeton,NJ,40.34896,-74.7147,Educational Testing Service,Princeton,NJ,40.34896,-74.7147
NA,NA,NA,NA,NA,Elmhurst University,Elmhurst,IL,41.89699,-87.94714,Elmhurst University,Elmhurst,IL,41.89699,-87.94714
Emma Pendleton Bradley Hospital,Riverside,RI,41.79238,-71.3674,NA,NA,NA,NA,NA,Emma Pendleton Bradley Hospital,Riverside,RI,41.79238,-71.3674
