GEOID,name_geoid,lat,lon
0616,Congressional District 16,37.24292,-121.9248
0616,Congressional District 16,37.45281,-122.18549
0616,Congressional District 16,37.45064,-122.18704
0616,Congressional District 16,37.44504,-122.16084
0616,Congressional District 16,37.46808,-122.20002
0616,Congressional District 16,37.39209,-122.08338
0616,Congressional District 16,37.42102,-122.14206
0616,Congressional District 16,37.40271,-122.14841
0616,Congressional District 16,37.43342,-122.18465
0616,Congressional District 16,37.442,-122.15823
0616,Congressional District 16,37.42371,-122.19718
0616,Congressional District 16,37.44398,-122.12583
0616,Congressional District 16,37.41938,-122.15956
0616,Congressional District 16,37.45808,-122.18893
0616,Congressional District 16,37.40937,-122.15783
0616,Congressional District 16,37.37575,-122.11047
0616,Congressional District 16,37.45157,-122.11243
0616,Congressional District 16,37.28209,-122.00728
0616,Congressional District 16,37.44834,-122.26874
0616,Congressional District 16,37.38873,-122.09398
0616,Congressional District 16,37.42058,-122.21424
0616,Congressional District 16,37.42184,-122.09453
0616,Congressional District 16,37.42782,-122.11799
0616,Congressional District 16,37.31761,-121.94763
0616,Congressional District 16,37.40804,-122.07096
0616,Congressional District 16,37.42654,-122.15009
0616,Congressional District 16,37.43745,-122.14614
0616,Congressional District 16,37.38878,-122.06754
0616,Congressional District 16,37.42288,-122.12145
0616,Congressional District 16,37.4084,-122.08595
0616,Congressional District 16,37.40916,-122.13469
0616,Congressional District 16,37.39651,-122.05111
0616,Congressional District 16,37.41763,-122.09611
0616,Congressional District 16,37.3663,-122.07271
0616,Congressional District 16,37.44023,-122.16274
0616,Congressional District 16,37.39766,-122.11267
0616,Congressional District 16,37.23496,-121.87677
0616,Congressional District 16,37.28329,-122.00935
0616,Congressional District 16,37.40282,-122.11146
0616,Congressional District 16,37.39718,-122.04886
0616,Congressional District 16,37.53097,-122.51501
0616,Congressional District 16,37.45042,-122.1412
0604,Congressional District 4,38.54164,-121.71943
0604,Congressional District 4,38.67721,-121.76618
0604,Congressional District 4,38.55584,-121.76211
0604,Congressional District 4,38.44715,-122.73567
0604,Congressional District 4,38.57029,-121.7262
0604,Congressional District 4,38.54449,-121.70595
0604,Congressional District 4,38.545,-121.73944
0604,Congressional District 4,38.54589,-121.71308
0604,Congressional District 4,38.39112,-121.9396
0604,Congressional District 4,38.53874,-121.7387
0604,Congressional District 4,38.54836,-121.7255
0604,Congressional District 4,38.43408,-122.29035
0604,Congressional District 4,38.55767,-121.78547
0604,Congressional District 4,38.55779,-121.77867
0604,Congressional District 4,38.3233,-122.67887
0651,Congressional District 51,32.88251,-117.17116
0651,Congressional District 51,32.89232,-117.14335
0651,Congressional District 51,32.90374,-117.21793
0651,Congressional District 51,32.89756,-117.19075
0651,Congressional District 51,32.88646,-117.18091
0651,Congressional District 51,32.77051,-117.18955
0651,Congressional District 51,32.9032,-117.17506
0651,Congressional District 51,32.82603,-117.15415
0651,Congressional District 51,32.95747,-117.09818
0651,Congressional District 51,32.89918,-117.19666
0651,Congressional District 51,32.90444,-117.21814
0651,Congressional District 51,32.88231,-117.19192
0651,Congressional District 51,32.92437,-117.14994
0651,Congressional District 51,32.7891,-117.20486
0651,Congressional District 51,32.89879,-117.19583
