tractid,inst_street_address,org_name,lat,lon
06013360101,5421 SOBRANTE AVE,SYNTOPA INC.,37.98112,-122.2902
06095252313,478 EL CAMINO DR,"PHOTONLAB, INC.",38.28947,-122.03033
06013392000,163 ARLINGTON AVE,"TERRAFUSE, INC.",37.90833,-122.28018
06013391000,663 COVENTRY RD,"HARVEST THERMAL, INC.",37.90311,-122.28183
06013316000,500 COURT ST,Contra Costa Community College District,38.01908,-122.13529
06013316000,,"Cisneros, Alejandro Omar",38.01937,-122.13413
06013378000,,"Beckman, Elizabeth Jane",37.94295,-122.39009
06013380001,79 HARBOR VIEW DR,"SPECTACULAR LABS, INC.",37.90833,-122.34458
06013365003,3071 RESEARCH DR,"Fortiphyte, Inc.",37.98768,-122.3287
06013364002,2771 SARGENT AVE,Eyes in Synch LLC,37.99237,-122.32652
06095250801,955 WALNUT AVE,iTherapy LLC,38.1005,-122.27462
06095250300,2778 GEORGIA ST,CALM WATERS GROUP LLC,38.10049,-122.22565
06095250801,200 MARITIME ACADEMY DR,California Maritime Academy,38.06892,-122.23035
06001430700,19616 ADAIR DR,"DEBATER HUB, LLC",37.7035,-122.08639
06001450400,7600 DUBLIN BLVD,Chabot-Las Positas Community College District,37.70362,-121.92986
06001442602,4540 MEYER PARK CIR,Phoenix Bioinformatics Corporation,37.54607,-122.00284
06001442000,146 CELADA CT,EPIXEGO INC.,37.55782,-121.94836
06001441702,3534 PERALTA BLVD,PLANETTE ANALYTICS INC,37.55965,-122.00163
