state,account_name,raw_funding,econ_impact,jobs
HI,TIP,2149036.70569497,5673456.903034721,29.847732023541255
IA,BIO,7229937.175087132,19087034.142230026,100.41579409843237
IA,CSE,8923851.012808315,23558966.673813954,123.94237517789327
IA,EDU,6747940.105596156,17814561.878773853,93.72139035550217
IA,ENG,12181790.402568538,32159926.66278094,169.19153336900746
IA,GEO,4911724.292149087,12966952.13127359,68.21839294651511
IA,MPS,8866464.51161821,23407466.310672075,123.1453404391418
IA,OIA,11988907.030812476,31650714.561344944,166.5125976501733
IA,OISE,273924.56744781695,723160.8580622367,3.8045078812196795
IA,OPP,488252.1387887426,1288985.6464022805,6.7812797053992036
IA,SBE,2633361.568972566,6952074.5420875745,36.574466235730085
IA,TIP,3919561.0572511535,10347641.191143047,54.43834801737714
ID,BIO,9446750.1993786,24939420.526359506,131.20486388025833
ID,CSE,2933129.6279805917,7743462.217868763,40.737911499730444
ID,EDU,8011525.619341195,21150427.635060757,111.2711891575166
ID,ENG,3738308.0618299837,9869133.283231158,51.920945303194216
ID,GEO,3795999.3538696924,10021438.294215988,52.72221324819017
ID,MPS,3360893.4591082344,8872758.73204574,46.6790758209477
ID,OIA,21299196.30636418,56229878.248801425,295.8221709217247
ID,OISE,275266.79615571164,726704.3418510788,3.8231499466071064
ID,OPP,1306464.8476949981,3449067.197914795,18.145345106874974
ID,SBE,806108.4885346105,2128126.409731372,11.195951229647367
ID,TIP,5054146.287961524,13342946.200218424,70.19647622168783
IL,BIO,27803096.186236035,73400173.93166314,386.15411369772266
IL,CSE,89712400.76552683,236840738.02099082,1246.0055661878728
IL,EDU,43731871.73338841,115452141.37614541,607.3871074081723
IL,ENG,48199906.38468412,127247752.85556607,669.4431442317237
IL,GEO,17924059.990563557,47319518.375087805,248.94527764671608
IL,MPS,100036829.91697694,264097230.9808191,1389.4004155135688
IL,OIA,2072397.8345666528,5471130.283255963,28.783303257870173
IL,OISE,5239014.530508834,13830998.360543324,72.76409070151158
IL,OPP,13649090.436650524,36033598.752757385,189.57070050903505
IL,SBE,17737323.286304906,46826533.47584496,246.35171230979037
IL,TIP,26927923.579107273,71089718.24884321,373.9989385987122
IN,BIO,18507639.014387198,48860166.99798221,257.05054186648886
IN,CSE,46912195.73453218,123848196.73916492,651.5582740907247
IN,EDU,16745314.9493755,44207631.46635132,232.57381874132642
IN,ENG,35682984.27877315,94203078.49596114,495.59700387184944
IN,GEO,6424288.398326324,16960121.371581495,89.22622775453226
IN,MPS,43955902.23067052,116043581.88897017,610.4986420926462
IN,OIA,683695.6323122398,1804956.4693043134,9.495772671003332
IN,OISE,1639542.7971448048,4328392.9844622845,22.771427738122284
IN,OPP,1733004.829690342,4575132.7503825035,24.069511523476972
IN,SBE,7385876.059718939,19498712.797658,102.5816119405408
IN,TIP,11827125.19160458,31223610.50583609,164.2656276611747
KS,BIO,7795682.397982366,20580601.530673448,108.27336663864399
KS,CSE,3298701.482988854,8708571.915090576,45.8152983748452
KS,EDU,5790646.726492935,15287307.357941348,80.42564897906853
KS,ENG,4738185.537749809,12508809.819659498,65.80813246874736
KS,GEO,4597030.33815152,12136160.092720013,63.84764358543778
KS,MPS,7400663.679284781,19537752.113311823,102.78699554562198
KS,OIA,30219289.89768905,79778925.32989909,419.7123596901257
KS,OISE,1584362.5195920106,4182717.051722909,22.00503499433348
KS,OPP,965768.5444080218,2549628.957237178,13.413452005666972
KS,SBE,1288356.2809043138,3401260.5815873886,17.89383723478214
