"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"31045","Dawes County, NE","Nebraska","NE",4425.87556844059,11452.6205269939,0.0407180552296534
"30420","Dawson County, NE","Nebraska","NE",55799.442781137,144389.473655093,0.513354873586461
"31049","Deuel County, NE","Nebraska","NE",323.147680186828,836.193358382665,0.00297295865771882
"31051","Dixon County, NE","Nebraska","NE",16814.965650046,43511.2595884087,0.154697683980424
"23340","Dodge County, NE","Nebraska","NE",164806.2721233,426461.084571718,1.51621770353436
"36540","Douglas County, NE","Nebraska","NE",18224897.2636327,47159670.2790665,167.669054825421
"31057","Dundy County, NE","Nebraska","NE",278.323696338048,720.204539991855,0.00256057800631004
"31059","Fillmore County, NE","Nebraska","NE",930.772399516687,2408.51395928874,0.00856310607555352
"31061","Franklin County, NE","Nebraska","NE",207.433247104493,536.76481117316,0.00190838587336134
"31063","Frontier County, NE","Nebraska","NE",34549.4892176174,89402.0139726281,0.31785530080208
"31065","Furnas County, NE","Nebraska","NE",1807.63478623978,4677.52762997177,0.016630240033406
"13100","Gage County, NE","Nebraska","NE",36957.5094383108,95633.1294620875,0.34000908683246
"31069","Garden County, NE","Nebraska","NE",378.294980757422,978.895315714379,0.00348031382296828
"31071","Garfield County, NE","Nebraska","NE",11159.9643042918,28878.0907405593,0.102671671599485
"30420","Gosper County, NE","Nebraska","NE",4711.17953597284,12190.8875714386,0.0433428517309501
"31075","Grant County, NE","Nebraska","NE",8.53345769329847,22.0816087649157,0.0000785078107783459
"31077","Greeley County, NE","Nebraska","NE",623.947969100934,1614.55947149894,0.00574032131572859
"24260","Hall County, NE","Nebraska","NE",126080.111410936,326251.303196788,1.15993702498062
"31081","Hamilton County, NE","Nebraska","NE",12033.9800349201,31139.738259275,0.110712616321265
"31083","Harlan County, NE","Nebraska","NE",543.719840573393,1406.95708923392,0.00500222253327521
"31085","Hayes County, NE","Nebraska","NE",8.53345769329847,22.0816087649157,0.0000785078107783459
"31087","Hitchcock County, NE","Nebraska","NE",557.998020901454,1443.90403421342,0.00513358179229338
"31089","Holt County, NE","Nebraska","NE",1504.50476532223,3893.13298393532,0.0138414438409645
"31091","Hooker County, NE","Nebraska","NE",3.50136759059827,9.06031670356374,0.0000322125818335041
"24260","Howard County, NE","Nebraska","NE",35805.1273883609,92651.1671099816,0.329407171972921
"31095","Jefferson County, NE","Nebraska","NE",19989.5205960553,51725.8992854632,0.183903589483709
"31097","Johnson County, NE","Nebraska","NE",70446.8158297625,182291.760479286,0.648110705633815
"28260","Kearney County, NE","Nebraska","NE",13635.7506983432,35284.5614238179,0.125448906424758
"31101","Keith County, NE","Nebraska","NE",11838.7928616318,30634.6620110075,0.108916894327013
"31103","Keya Paha County, NE","Nebraska","NE",363.498280334244,940.606621787546,0.00334418417907504
"31105","Kimball County, NE","Nebraska","NE",858.774071761199,2222.20742770854,0.00790072146020303
"31107","Knox County, NE","Nebraska","NE",6068.54075598087,15703.2644402457,0.055830574955024
"30700","Lancaster County, NE","Nebraska","NE",4407118.64949472,11404084.1703745,40.5454915753514
"35820","Lincoln County, NE","Nebraska","NE",48058.2706178411,124358.023188537,0.442136089684138
"35820","Logan County, NE","Nebraska","NE",34737.1473274108,89887.6076335982,0.319581755412179
"31115","Loup County, NE","Nebraska","NE",0.295772444142956,0.765355806490574,0.0000027211064861152
