"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"05115","Arkansas","AR","Pope County",111246.050041392,312259.374460361,0.978965240364251
"05117","Arkansas","AR","Prairie County",25902.2420401245,72705.663648828,0.227939729953096
"05119","Arkansas","AR","Pulaski County",10986890.7542491,30839383.806523,96.6846386373922
"05121","Arkansas","AR","Randolph County",28596.9944335065,80269.6328537564,0.251653551014857
"05123","Arkansas","AR","St. Francis County",58315.7462033847,163687.954978021,0.513178566589786
"05125","Arkansas","AR","Saline County",2109352.04687143,5920794.04552053,18.5622980124685
"05127","Arkansas","AR","Scott County",5220.28819357912,14652.9600396895,0.0459385361034962
"05129","Arkansas","AR","Searcy County",9435.06895342193,26483.5356247678,0.083028606790113
"05131","Arkansas","AR","Sebastian County",116423.723089822,326792.716962511,1.02452876319043
"05133","Arkansas","AR","Sevier County",5064.88293130538,14216.7490464238,0.0445709697954873
"05135","Arkansas","AR","Sharp County",17543.890477842,49244.3935238483,0.15438623620501
"05137","Arkansas","AR","Stone County",7674.87077038837,21542.7904625277,0.0675388627794176
"05139","Arkansas","AR","Union County",47339.0640175397,132877.225862454,0.416583763354349
"05141","Arkansas","AR","Van Buren County",17411.3140627722,48872.261403899,0.153219563752396
"05143","Arkansas","AR","Washington County",1722084.97262588,4833764.22011986,15.1543477591077
"05145","Arkansas","AR","White County",289693.41496837,813147.833200829,2.54930205172166
"05147","Arkansas","AR","Woodruff County",10750.9340261852,30177.0708499951,0.0946082194304295
"05149","Arkansas","AR","Yell County",39602.7375743359,111161.933904878,0.348504090654156
"06001","California","CA","Alameda County",80651215.7029521,216410532.434766,709.730698185978
"06003","California","CA","Alpine County",10789.1040840328,28950.285981048,0.094944115939489
"06005","California","CA","Amador County",714900.689727885,1918285.26766187,6.29112606960539
"06007","California","CA","Butte County",565410.06950642,1517158.70764467,4.97560861165649
"06009","California","CA","Calaveras County",369275.916448821,990874.061816532,3.24962806474962
"06011","California","CA","Colusa County",190921.174343781,512296.716580008,1.68010633422527
"06013","California","CA","Contra Costa County",41365817.0720817,110996448.337984,364.019190234319
"06015","California","CA","Del Norte County",27686.6381752611,74291.2559545913,0.243642415942298
"06017","California","CA","El Dorado County",1451183.02385234,3893943.66984951,12.7704106099006
"06019","California","CA","Fresno County",3464136.56726348,9295280.08244012,30.4844017919187
