org_name,org_city,org_state,lat,lon,week,current_loss,current_grant_loss,current_econ_loss,current_job_loss,overall_loss,overall_grant_loss,overall_econ_loss,overall_job_loss
Marymount University,Arlington,VA,38.90535,-77.12802,2025-02-28,0,0,0,0,0,0,0,0
Massachusetts Bay Community College,Wellesley Hills,MA,42.3145,-71.26692,2025-02-28,0,0,0,0,0,0,0,0
Massachusetts Institute of Technology,Cambridge,MA,42.35914,-71.09356,2025-02-28,0,0,0,0,0,0,0,0
Mathematical Sciences Research Institute,Berkeley,CA,37.87983,-122.24425,2025-02-28,0,0,0,0,0,0,0,0
Menlo College,Atherton,CA,37.4561,-122.1921,2025-02-28,0,0,0,0,0,0,0,0
Mercyhurst University,Erie,PA,42.10329,-80.05312,2025-02-28,0,0,0,0,0,0,0,0
Metropolitan State University of Denver,Denver,CO,39.74532,-105.00766,2025-02-28,0,0,0,0,0,0,0,0
Miami University,Oxford,OH,39.50946,-84.73448,2025-02-28,0,0,0,0,0,0,0,0
Michigan State University,East Lansing,MI,42.65398,-84.49203,2025-02-28,0,0,0,0,0,0,0,0
Middle Tennessee State University,Murfreesboro,TN,35.84348,-86.37097,2025-02-28,0,0,0,0,0,0,0,0
Middlesex Community College,Bedford,MA,42.52495,-71.2748,2025-02-28,0,0,0,0,0,0,0,0
Millersville University,Millersville,PA,39.99703,-76.35424,2025-02-28,0,0,0,0,0,0,0,0
Mississippi State University,Mississippi State,MS,33.45844,-88.79463,2025-02-28,0,0,0,0,0,0,0,0
Missouri State University,Springfield,MO,37.20055,-93.28068,2025-02-28,0,0,0,0,0,0,0,0
Missouri University of Science and Technology,Rolla,MO,37.95307,-91.77313,2025-02-28,0,0,0,0,0,0,0,0
Molloy University,Rockville Centre,NY,40.68621,-73.62704,2025-02-28,0,0,0,0,0,0,0,0
Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994,2025-02-28,0,0,0,0,0,0,0,0
Montclair State University,Montclair,NJ,40.85976,-74.19975,2025-02-28,0,0,0,0,0,0,0,0
Morehouse College,Atlanta,GA,33.74661,-84.41478,2025-02-28,0,0,0,0,0,0,0,0
Morgan State University,Baltimore,MD,39.34599,-76.58205,2025-02-28,0,0,0,0,0,0,0,0
Mozilla Foundation,San Francisco,CA,37.78696,-122.39956,2025-02-28,0,0,0,0,0,0,0,0
MyVillage Project Inc.,Jacksonville,FL,30.32717,-81.65676,2025-02-28,0,0,0,0,0,0,0,0
National Academy of Sciences,Washington,DC,38.89305,-77.04794,2025-02-28,0,0,0,0,0,0,0,0
National Bureau of Economic Research Inc.,Cambridge,MA,42.36979,-71.11296,2025-02-28,0,0,0,0,0,0,0,0
National Opinion Research Center,Chicago,IL,41.78587,-87.59754,2025-02-28,0,0,0,0,0,0,0,0
National Postdoctoral Association,North Potomac,MD,39.0756,-77.26921,2025-02-28,0,0,0,0,0,0,0,0
Nevada State University,Henderson,NV,35.983,-114.93871,2025-02-28,0,0,0,0,0,0,0,0
New Jersey Institute of Technology,Newark,NJ,40.74292,-74.17624,2025-02-28,0,0,0,0,0,0,0,0
New Mexico Highlands University,Las Vegas,NM,35.58997,-105.23321,2025-02-28,0,0,0,0,0,0,0,0
New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,2025-02-28,0,0,0,0,0,0,0,0
New York Hall of Science,Corona,NY,40.75257,-73.85476,2025-02-28,0,0,0,0,0,0,0,0
New York University,New York,NY,40.72966,-73.99702,2025-02-28,0,0,0,0,0,0,0,0
North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596,2025-02-28,0,0,0,0,0,0,0,0
North Carolina Central University,Durham,NC,35.97394,-78.89891,2025-02-28,0,0,0,0,0,0,0,0
North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723,2025-02-28,0,0,0,0,0,0,0,0
North Dakota State University Fargo,Fargo,ND,46.89295,-96.80103,2025-02-28,0,0,0,0,0,0,0,0
Northeastern University,Boston,MA,42.34005,-71.08889,2025-02-28,0,0,0,0,0,0,0,0
Northern Arizona University,Flagstaff,AZ,35.19311,-111.65634,2025-02-28,0,0,0,0,0,0,0,0
Northern Illinois University,Dekalb,IL,41.93398,-88.77985,2025-02-28,0,0,0,0,0,0,0,0
Northern Kentucky University,Newport,KY,39.03351,-84.45905,2025-02-28,0,0,0,0,0,0,0,0
Northern Virginia Community College,Annandale,VA,38.83321,-77.23655,2025-02-28,0,0,0,0,0,0,0,0
Northwest Indian College,Bellingham,WA,48.79258,-122.61576,2025-02-28,0,0,0,0,0,0,0,0
Northwestern University,Evanston,IL,42.05048,-87.68005,2025-02-28,0,0,0,0,0,0,0,0
Nova Southeastern University,Ft Lauderdale,FL,26.07803,-80.24377,2025-02-28,0,0,0,0,0,0,0,0
Oakland University,Rochester,MI,42.67251,-83.21576,2025-02-28,0,0,0,0,0,0,0,0
Oberlin College,Oberlin,OH,41.29359,-82.22363,2025-02-28,0,0,0,0,0,0,0,0
Occidental College,Los Angeles,CA,34.12736,-118.21048,2025-02-28,0,0,0,0,0,0,0,0
Ohio State University,Columbus,OH,39.9996,-83.03313,2025-02-28,0,0,0,0,0,0,0,0
Oklahoma State University Stillwater,Stillwater,OK,36.11563,-97.05804,2025-02-28,0,0,0,0,0,0,0,0
Old Dominion University,Norfolk,VA,36.88899,-76.30348,2025-02-28,0,0,0,0,0,0,0,0
