"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0407","University of Arizona",488586.63300805,347782.135297419,836368.768305469,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",1289868.71114125,918144.837185186,2208013.54832644,6.78592545844514,4.83030743468638,11.6162328931315
"0407","Arizona State University",24299.7655967636,106580.401859126,130880.16745589,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",64151.3811754559,281372.260908094,345523.64208355,0.337496744399494,1.48028335915453,1.81778010355403
"0407","Research Corporation for Science Advancement",31722.8220838362,0,31722.8220838362,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",83748.2503013277,0,83748.2503013277,0.440594751164392,0,0.440594751164392
"0407","Northern Arizona University",0,6054.67857137641,6054.67857137641,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",0,15984.3514284337,15984.3514284337,0,0.0840927579357835,0.0840927579357835
"0407","University of California-Berkeley",944.747463813302,442.497162148456,1387.24462596176,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",2494.13330446712,1168.19250807192,3662.32581253904,0.0131214925529625,0.00614579391872855,0.0192672864716911
"0408","Arizona State University",74094.3672294758,324982.864685205,399077.231914681,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",195609.129485816,857954.762768942,1053563.89225476,1.02908843374272,4.51365089840563,5.54273933214835
"0408","University of Arizona",14179.1867355017,10092.9241745596,24272.1109100612,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",37433.0529817244,26645.3198208373,64078.3728025617,0.19693314910419,0.140179502424438,0.337112651528628
"0408","Northern Arizona University",0,12524.0611544909,12524.0611544909,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",0,33063.5214478561,33063.5214478561,0,0.173945293812374,0.173945293812374
"0408","University of California-Los Angeles",2250.79936550938,907.778894109089,3158.57825961847,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",5942.11032494477,2396.536280448,8338.64660539277,0.0312611022987414,0.0126080401959596,0.043869142494701
"0408","University of California-Santa Barbara",644.397679900113,494.71919424366,1139.11687414377,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",1701.2098749363,1306.05867280326,3007.26854773956,0.00894996777639046,0.00687109992005084,0.0158210676964413
"0409","Arizona State University",29876.7609796274,131041.477695647,160918.238675275,"Arizona","Paul A. Gosar","Republican","AZ","04",78874.6489862162,345949.501116509,424824.150102725,0.414955013605935,1.82002052355066,2.23497553715659
"0409","University of Arizona",10066.1402015394,7165.20571171023,17231.3459132496,"Arizona","Paul A. Gosar","Republican","AZ","04",26574.6101320639,18916.143078915,45490.7532109789,0.139807502799158,0.0995167459959754,0.239324248795133
"0409","Northern Arizona University",0,13602.29158501,13602.29158501,"Arizona","Paul A. Gosar","Republican","AZ","04",0,35910.0497844264,35910.0497844264,0,0.188920716458472,0.188920716458472
"0409","Purdue University",938.552164035748,1338.06772774363,2276.61989177937,"Arizona","Paul A. Gosar","Republican","AZ","04",2477.77771305437,3532.49880124317,6010.27651429755,0.0130354467227187,0.0185842739964392,0.031619720719158
